,confirm_5,confirm_5,confirm_5,confirm_5,confirm_5,confirm_5,confirm_10,confirm_10,confirm_10,confirm_10,confirm_10,confirm_10,confirm_20,confirm_20,confirm_20,confirm_20,confirm_20,confirm_20,confirm_50,confirm_50,confirm_50,confirm_50,confirm_50,confirm_50,death_5,death_5,death_5,death_5,death_5,death_5,death_10,death_10,death_10,death_10,death_10,death_10,death_20,death_20,death_20,death_20,death_20,death_20,death_50,death_50,death_50,death_50,death_50,death_50
,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,229.0,3.42,3.0,11.58,3.4,0.42,681.0,10.32,7.0,128.5,11.34,1.4,2119.0,39.98,23.0,2634.48,51.33,7.05,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.14,0.0,0.21,0.46,0.06,61.0,1.15,0.0,4.17,2.04,0.28,0.0,,,,,
Alaska,31.0,2.82,2.0,3.36,1.83,0.55,60.0,6.67,7.0,23.25,4.82,1.61,164.0,32.8,15.0,641.2,25.32,11.32,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.2,0.45,0.2,0.0,,,,,
Arizona,61.0,4.07,2.0,20.78,4.56,1.18,171.0,11.4,5.0,267.4,16.35,4.22,967.0,74.38,35.0,11195.09,105.81,29.35,4.0,4.0,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13,0.0,0.27,0.52,0.13,15.0,1.15,0.0,8.31,2.88,0.8,0.0,0.0,0.0,,,
Arkansas,325.0,4.64,1.0,137.6,11.73,1.4,589.0,9.2,3.0,265.37,16.29,2.04,991.0,23.6,8.0,1439.37,37.94,5.85,0.0,,,,,,1.0,0.01,0.0,0.01,0.12,0.01,6.0,0.09,0.0,0.12,0.34,0.04,21.0,0.5,0.0,1.96,1.4,0.22,0.0,,,,,
California,203.0,3.83,2.0,9.91,3.15,0.43,483.0,9.11,5.0,103.29,10.16,1.4,2248.0,51.09,25.0,4915.48,70.11,10.57,1575.0,225.0,53.0,79933.33,282.72,106.86,2.0,0.04,0.0,0.04,0.19,0.03,9.0,0.17,0.0,0.3,0.55,0.07,53.0,1.2,0.0,5.89,2.43,0.37,41.0,5.86,1.0,75.14,8.67,3.28
Colorado,192.0,3.43,2.0,17.52,4.19,0.56,441.0,8.17,4.0,100.86,10.04,1.37,2193.0,54.82,16.5,5680.46,75.37,11.92,0.0,,,,,,3.0,0.05,0.0,0.05,0.23,0.03,7.0,0.13,0.0,0.11,0.34,0.05,56.0,1.4,1.0,4.86,2.2,0.35,0.0,,,,,
Connecticut,69.0,8.62,8.0,27.41,5.24,1.85,301.0,37.62,31.0,998.27,31.6,11.17,2918.0,364.75,124.0,178171.93,422.1,149.24,0.0,,,,,,2.0,0.25,0.0,0.5,0.71,0.25,10.0,1.25,0.5,2.5,1.58,0.56,77.0,9.62,10.0,56.27,7.5,2.65,0.0,,,,,
Delaware,19.0,6.33,6.0,2.33,1.53,0.88,75.0,25.0,27.0,12.0,3.46,2.0,435.0,145.0,151.0,223.0,14.93,8.62,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.33,0.58,0.33,8.0,2.67,3.0,0.33,0.58,0.33,0.0,,,,,
District of Columbia,71.0,71.0,71.0,,,,187.0,187.0,187.0,,,,902.0,902.0,902.0,,,,0.0,,,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,,,,21.0,21.0,21.0,,,,0.0,,,,,
Florida,259.0,3.87,3.0,9.91,3.15,0.38,964.0,15.3,9.0,551.99,23.49,2.96,6457.0,134.52,53.5,101649.49,318.83,46.02,0.0,,,,,,5.0,0.07,0.0,0.07,0.26,0.03,13.0,0.21,0.0,0.26,0.51,0.06,98.0,2.04,1.0,6.68,2.58,0.37,0.0,,,,,
Georgia,478.0,3.08,2.0,8.88,2.98,0.24,1315.0,8.65,6.0,95.87,9.79,0.79,5150.0,49.05,27.0,4374.08,66.14,6.45,0.0,,,,,,7.0,0.05,0.0,0.06,0.24,0.02,35.0,0.23,0.0,0.43,0.66,0.05,192.0,1.83,1.0,11.8,3.43,0.34,0.0,,,,,
