FIPS,County,State,Latitude,Longitude,confirm_5,confirm_10,confirm_20,confirm_50,confirm_current,death_5,death_10,death_20,death_50,death_current,Population,Population Density,Median Household Income,Poverty Rate
01001,Autauga,Alabama,32.53952745,-86.64408227,6.0,10.0,19.0,,24,0.0,0.0,1.0,,1,55049.0,93.534505205,53099.0,12.165525259314428
01003,Baldwin,Alabama,30.72774991,-87.72207058,1.0,4.0,28.0,,91,0.0,0.0,1.0,,2,199510.0,137.13854588,51365.0,12.806876848278282
01005,Barbour,Alabama,31.868263,-85.3871286,3.0,10.0,,,12,0.0,0.0,,,0,26614.0,28.114059594,33956.0,23.427519350717667
01007,Bibb,Alabama,32.99642064,-87.12511459999997,4.0,9.0,,,18,0.0,0.0,,,0,22572.0,35.986168859,39776.0,15.018607123870282
01009,Blount,Alabama,33.98210918,-86.56790593,5.0,9.0,14.0,,17,0.0,0.0,0.0,,0,57704.0,89.697955279,46212.0,16.361084153611536
01011,Bullock,Alabama,32.10030533,-85.71265535,3.0,2.0,8.0,,8,0.0,0.0,0.0,,0,10552.0,16.277951234,29335.0,25.85291887793783
01013,Butler,Alabama,31.75300095,-86.68057478,1.0,1.0,8.0,,9,0.0,0.0,0.0,,0,20280.0,25.333449178,34315.0,25.276134122287967
01015,Calhoun,Alabama,33.77483727,-85.82630386,1.0,3.0,34.0,,62,0.0,0.0,0.0,,0,115883.0,188.61714004,41954.0,19.10116237929636
01017,Chambers,Alabama,32.91360079,-85.39072749,2.0,17.0,101.0,,221,0.0,0.0,8.0,,10,34018.0,56.347975948,36027.0,20.004115468281498
01019,Cherokee,Alabama,34.17805983,-85.60638968,2.0,5.0,9.0,,9,0.0,0.0,0.0,,0,25897.0,47.029485799,38925.0,16.171757346410782
01021,Chilton,Alabama,32.85044126,-86.7173256,7.0,15.0,33.0,,35,0.0,0.0,0.0,,0,43817.0,63.726498241,42594.0,20.035602619987674
01023,Choctaw,Alabama,32.02227341,-88.26564429999998,2.0,4.0,12.0,,12,0.0,0.0,0.0,,0,13287.0,14.057424215,32622.0,20.644238729585307
01025,Clarke,Alabama,31.68099859,-87.83548597,9.0,15.0,,,21,0.0,0.0,,,0,24847.0,19.314926487,32735.0,24.24035094780054
01027,Clay,Alabama,33.26984193,-85.85836077,2.0,8.0,14.0,,14,0.0,0.0,0.0,,0,13483.0,21.979894753,38815.0,16.27975969739672
01029,Cleburne,Alabama,33.67679204,-85.52005899,5.0,7.0,12.0,,12,0.0,0.0,0.0,,0,14991.0,26.757506743,36316.0,19.271562937762656
01031,Coffee,Alabama,31.39932826,-85.98901039,0.0,7.0,36.0,,40,0.0,0.0,0.0,,0,50991.0,76.45075182,47872.0,16.118530721107646
01033,Colbert,Alabama,34.69847452,-87.80168544,2.0,5.0,10.0,,11,0.0,0.0,1.0,,1,54377.0,92.387121174,43786.0,16.385604207661327
01035,Conecuh,Alabama,31.43401703,-86.99320044,2.0,3.0,,,5,0.0,0.0,,,0,12697.0,14.440131364,27609.0,32.346223517366305
