,hospital_overall_rating,hospital_overall_rating,hospital_overall_rating,hospital_overall_rating,hospital_overall_rating
,mean,median,var,std,sem
state,,,,,
Alabama,3.039473684210526,3.0,0.9450877192982461,0.972156221652799,0.1115139665136547
Alaska,3.4,3.5,0.4888888888888888,0.699205898780101,0.22110831935702663
Arizona,3.0892857142857144,3.0,0.8464285714285714,0.9200155278192708,0.12294224627184647
Arkansas,2.806451612903226,3.0,1.175039661554733,1.083992463790562,0.13766718056865077
California,3.007042253521127,3.0,1.3073707261235263,1.1434031336862456,0.06784849334901052
Colorado,3.8823529411764706,4.0,0.6258823529411766,0.7911272672213849,0.11077997562216106
Connecticut,2.962962962962963,3.0,0.9601139601139604,0.9798540504146321,0.18857299992447765
Delaware,2.6666666666666665,2.0,1.0666666666666667,1.0327955589886444,0.4216370213557839
District of Columbia,1.8333333333333333,1.0,2.5666666666666673,1.6020819787597222,0.6540472290116196
Florida,2.710059171597633,3.0,1.3023386869540718,1.1412005463344608,0.08778465741034314
Georgia,2.910891089108911,3.0,1.0219801980198016,1.0109303625966537,0.10059133074961399
Hawaii,3.8333333333333335,4.0,0.696969696969697,0.8348471099367218,0.24099960182707375
Idaho,3.892857142857143,4.0,0.7658730158730159,0.8751417118804337,0.16538623796964053
Illinois,3.221518987341772,3.0,1.2563492703378218,1.1208698721697457,0.08917161914177606
Indiana,3.616822429906542,4.0,0.5782049021336625,0.7603978577913424,0.0735104355319046
Iowa,3.75,4.0,0.67,0.8185352771872451,0.09389243565742775
Kansas,3.4166666666666665,3.0,0.9788732394366197,0.9893802299604636,0.11659957829615827
Kentucky,3.0126582278481013,3.0,1.0639402791301529,1.0314748078019904,0.11604998263680154
Louisiana,2.9210526315789473,3.0,0.8203508771929825,0.9057322326123668,0.10389461241749423
Maine,3.71875,4.0,0.6602822580645159,0.8125775397243735,0.1436447721447464
Maryland,3.090909090909091,3.0,1.5264270613107824,1.2354865686484748,0.18625660826048457
Massachusetts,3.125,3.0,1.4568181818181816,1.2069872334942824,0.16129045349806162
Michigan,3.490740740740741,4.0,1.1494461751471097,1.0721222762106521,0.10316501412906905
Minnesota,3.8823529411764706,4.0,0.5531167690956982,0.7437182054351622,0.09018907990305848
Mississippi,2.725806451612903,3.0,1.0875198307773666,1.0428421888173525,0.13244109042096042
Missouri,3.1555555555555554,3.0,0.964294631710362,0.9819850465818519,0.10351031251417318
Montana,3.72,4.0,0.5433333333333334,0.7371114795831994,0.14742229591663988
Nebraska,3.6382978723404253,4.0,0.6706753006475488,0.8189476788217601,0.11945579620855652
Nevada,2.48,3.0,1.2599999999999996,1.1224972160321822,0.22449944320643644
New Hampshire,3.5,3.5,0.74,0.8602325267042626,0.1687054784573947
New Jersey,2.5625,3.0,1.0436507936507937,1.0215922834726159,0.12769903543407699
New Mexico,3.096774193548387,3.0,1.0903225806451613,1.0441851275732486,0.1875411852096598
New York,2.2896551724137932,2.0,1.2210727969348656,1.105021627360689,0.09176705129292904
North Carolina,3.247311827956989,3.0,1.1012155212716224,1.0493881652046693,0.10881648363390332
North Dakota,3.2941176470588234,4.0,0.8455882352941179,0.919558717697852,0.2230257483544574
Ohio,3.5899280575539567,4.0,0.8813470962360548,0.9388008821022991,0.07962805153729617
Oklahoma,3.347826086956522,3.0,1.053708439897698,1.0265030150455954,0.12357644116137817
Oregon,3.9038461538461537,4.0,0.4807692307692307,0.6933752452815364,0.09615384615384616
Pennsylvania,3.206896551724138,3.0,1.1374521072796933,1.0665139976951514,0.08856916670932437
Puerto Rico,1.375,1.0,0.26785714285714285,0.5175491695067657,0.18298126367784995
Rhode Island,3.3,3.5,1.788888888888889,1.3374935098492586,0.42295258468165065
South Carolina,3.2264150943396226,3.0,1.178519593613933,1.085596422992418,0.14911813688291808
South Dakota,3.9444444444444446,4.0,0.7614379084967319,0.872604096080652,0.2056747578765956
Tennessee,2.976470588235294,3.0,0.8803921568627451,0.9382921489934491,0.10177207272439984
Texas,3.3450980392156864,3.0,1.0221707580670054,1.01102460804226,0.06331281684409054
Utah,4.03125,4.0,0.6118951612903227,0.782237279404608,0.13828132119097858
Vermont,3.4166666666666665,3.0,0.6287878787878786,0.792961461098759,0.22890825651118374
Virgin Islands,2.5,2.5,0.5,0.7071067811865476,0.5
Virginia,3.4743589743589745,4.0,0.9279054279054282,0.9632784788966419,0.10906980991404071
Washington,3.537313432835821,4.0,1.1008593396653101,1.0492184423013684,0.12818243410434627
West Virginia,3.15,3.0,1.1051282051282048,1.0512507812735288,0.16621734304279176
Wisconsin,3.9134615384615383,4.0,0.7594286781179986,0.8714520515312352,0.08545290415227372
Wyoming,3.5555555555555554,4.0,0.49673202614379075,0.7047921864945658,0.1661211114658671
