hospital_name,city,state,county_name,hospital_overall_rating
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,Arizona,Apache,4.0
GLENWOOD REGIONAL MEDICAL CENTER,WEST MONROE,Louisiana,Ouachita,2.0
CLARION HOSPITAL,CLARION,Pennsylvania,Clarion,2.0
UNITY MEDICAL CENTER,MANCHESTER,Tennessee,Coffee,4.0
BEAR RIVER VALLEY HOSPITAL,TREMONTON,Utah,Box elder,4.0
SUBURBAN HOSPITAL,BETHESDA,Maryland,Montgomery,4.0
DOCTORS MEMORIAL HOSPITAL INC,PERRY,Florida,Taylor,2.0
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,PLAINSBORO,New Jersey,Middlesex,3.0
ST JOSEPHS HOSPITAL,BREESE,Illinois,Clinton,5.0
CLARK FORK VALLEY HOSPITAL,PLAINS,Montana,Sanders,3.0
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,HOOD RIVER,Oregon,Hood river,4.0
PELHAM MEDICAL CENTER,GREER,South Carolina,Greenville,4.0
MAJOR HOSPITAL,SHELBYVILLE,Indiana,Shelby,4.0
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,BRAINERD,Minnesota,Crow wing,4.0
RIO GRANDE REGIONAL HOSPITAL,MCALLEN,Texas,Hidalgo,4.0
BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM,BRENHAM,Texas,Washington,3.0
WARREN GENERAL HOSPITAL,WARREN,Pennsylvania,Warren,2.0
LITTLE COMPANY OF MARY HOSPITAL,EVERGREEN PARK,Illinois,Cook,3.0
SALINA REGIONAL HEALTH CENTER,SALINA,Kansas,Saline,3.0
HOSPITAL OF UNIV OF PENNSYLVANIA,PHILADELPHIA,Pennsylvania,Philadelphia,4.0
AURORA MEMORIAL HOSPITAL BURLINGTON,BURLINGTON,Wisconsin,Racine,4.0
PANOLA MEDICAL CENTER,BATESVILLE,Mississippi,Panola,3.0
ESKENAZI HEALTH,INDIANAPOLIS,Indiana,Marion,5.0
VALLEY PRESBYTERIAN HOSPITAL,VAN NUYS,California,Los angeles,2.0
HARRISON COUNTY COMMUNITY HOSPITAL,BETHANY,Missouri,Harrison,4.0
ALEXIAN BROTHERS MEDICAL CENTER 1,ELK GROVE VILLAGE,Illinois,Cook,5.0
NORTHEASTERN VERMONT REGIONAL HOSPITAL,SAINT JOHNSBURY,Vermont,Caledonia,3.0
CANYON VISTA MEDICAL CENTER,SIERRA VISTA,Arizona,Cochise,2.0
MAUI MEMORIAL MEDICAL CENTER,WAILUKU,Hawaii,Maui,4.0
MIDMICHIGAN MEDICAL CENTER - ALPENA,ALPENA,Michigan,Alpena,2.0
MERCY HEALTH HACKLEY CAMPUS,MUSKEGON,Michigan,Muskegon,5.0
ST LUKE'S WARREN HOSPITAL,PHILLIPSBURG,New Jersey,Warren,4.0
UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,JACKSONVILLE,Texas,Cherokee,4.0
ATRIUM HEALTH CLEVELAND,SHELBY,North Carolina,Cleveland,3.0
ST MARY MEDICAL CENTER,LANGHORNE,Pennsylvania,Bucks,3.0
CHRISTUS SANTA ROSA MEDICAL CENTER,SAN ANTONIO,Texas,Bexar,2.0
ASCENSION ST JOHN HOSPITAL,DETROIT,Michigan,Wayne,2.0
ALASKA REGIONAL HOSPITAL,ANCHORAGE,Alaska,Anchorage,4.0
